===== 第6章翻译.docx | word/document.xml =====
DOC:L1: 第六章
DOC:L12: 共同语言允许个人组成社会团体并参与合作努力。一个共享的词汇表使一个小组能够记录和保存过去的事件，通常是有选择性的解释。因为过去是一个教会孩子们文化规范行为的过程，这些记录为人们提供了一个共同的历史，成为未来一代人的统一力量正如你在第2章中所记得的，语言允许一群人保持一个文化价值观和期望的记录，把他们联系在一起。规则组织为使用语言建立了一种形式的社会联系社会关系的维持也不仅仅依赖于语言来传递信息。例如，用来表达国际关系、尊重、从属关系、礼节、距离和其他情感的语言类型可以帮助你维持关系或脱离关系。不幸的是，当人们对自己的母语认同过强，变得种族中心主义，并且感到受到说不同语言的人的威胁时，共享语言所产生的团结也会成为分裂的力量。
DOC:L13: 身份的表达
DOC:L14: 语言在你的身份，特别是民族身份的形成和表达中起着重要的作用。回想一下目前关于将英语作为美国官方语言的争论，这通常被视为对非法移民浪潮的反应。虽然他们只占加拿大人口的22%，说法语的人却把法语作为“魁北克的官方语言”法国以采取特殊措施确保其国家语言的纯洁性而闻名，1635年成立了法语学院，以“编纂和规范法语”。波罗的海国家爱沙尼亚是前苏联的一部分，大约30%的人口使用俄语作为第一语言。为了加强民族认同，政府设立了国家语言检查局，负责确保国家雇员掌握和使用爱沙尼亚语。2010年，比利时讲法语和讲佛兰芒语的人之间的语言冲突导致政府解散。语言也可以用来构建一个新的民族认同，正如1948年在以色列用希伯来语所做的那样，当时迫切需要统一极端的、来自许多不同国家、说各种语言的不同群体
DOC:L15: 语言在建立和表达民族认同中起着重要作用。英国黑人女性（BEV），或Ebonics，有助于创造和加强非洲裔美国人的相互认同感。方言或口音也可以是一个人的身份的一部分思考一下刻板的南方口音，各种各样的口音在波士顿和纽约市的大都会地区遇到的，或在南加州听到的冲浪者。每一种不同的语言习惯都有助于用户的地域认同。
DOC:L16: 语言使用可以根据年龄和性别等因素将人们分成不同的群体。所用的术语很容易将一个人标记为年轻人或老年人。回想一下你有时是如何认为你的父母或祖父母使用的词语听起来很过时的。额外的语言是你性别认同的一部分。女性和男性在词汇选择和行为上使用语言的方式不同。在美国说英语的人中，女性倾向于问更多的问题，听更多的话，并且使用支持性的说话风格。另一方面，男性更倾向于打断别人，表达自己的观点，而且是一个差劲的倾听者。在日本，女性使用更多的敬语，而两性通常用不同的词来表达同一件事。语言也被用来将人们分为不同的社会和经济层次。”从历史上看，人们说话的方式对他们在社会中的地位有着难以想象的影响。他们被认为是文明的或不文明的，老练的或不懂世故的。用他们所说的语言来形容他们是“高级阶级”还是“低级阶级”。
DOC:L17: 6.3语言特点
DOC:L18: 语言是象征性的
DOC:L19: 语言的一个基本要素是符号，符号是代表或代表一个意义单位的词、动作或物体。符号和它们所代表的东西之间的关系通常是高度随意的，特别是对于语言符号
DOC:L20: 例如，我们用“仇恨”这个符号来表示我们对他人的消极情绪。现实是我们内心的“不好的感觉”。换句话说，一个符号永远不等于它所指的现实。另一个例子，我们用符号“米”来表示一些可以满足身体饥饿的东西。当我们真的饿了的时候，我们当然不会吃符号“r-i-c-e”，但是真正的蒸或煮的谷物和同样的现实可以用不同的符号来表示。不同的语言系统使用不同的符号来代表相同的现实
DOC:L21: 语言是有规则的
DOC:L22: 语言的另一个重要组成部分是控制符号的组成和顺序的规则体系。每个人都必须学会一种语言的规则如何拼写，使用正确的语法，并作出适当的词汇选择。人类语言的每一个结构层次都受其语法规则和原则的制约。主语（I）+动词（like）+宾语（swiming）是英语结构中最基本的句式，如果用like代替I like swiming，听者会感到困惑人类语言的规则或原则不是普遍的。不同的语言系统以不同的方式调节它们的结构。
DOC:L23: 语言是主观的
DOC:L24: 语言的意义在于人，而不是语言。如果我们要给“资本主义”、“爱情”或“幸福”下定义，我们可能会为每个词产生20种不同的含义。词语的意义是个性化的，也是文化性的。每个人都有自己的经验领域。他对某些词的内涵很可能是基于他对指称对象的独特体验。例如，“雪”这个词对不同的人可能有不同的意思。语言的意义取决于文化经验，而不是词汇本身
DOC:L25: 语言是动态的
DOC:L26: 语言和人类生活一样，是动态的，有自己的生命周期。没有固定的语言。为了生存，所有的语言都必须不断地变化和变异。语言会随着时间的推移而改变，即使是孤立的。但它们也会通过从其他语言中吸收外来词并将其合并而发生变化。例如，在11世纪诺曼人征服英国之后，大量的法语词汇已经进入了英语，当时英国的统治阶级主要是诺曼人的法语。以下是一些可能在英国厨房架子上找到的食物。几乎都有其他语言的名字。例如，“soup”是从法语单词soupebeans中借来的“soupebeans”来自古老的德国博纳语，“chocolate”是从墨西哥单词chocolat中传入英语的，经过西班牙语和法语的变异，随着大众传媒的发展和互联网的普及，“email”，“surf the net，“聊天室”被创造出来并广泛使用
DOC:L27: 6.4语言和文化
DOC:L28: 在当今时代，人类学家、语言学家、心理学家和哲学家都对语言的概念及其与语言的关系感兴趣人类的努力。他们试图探索语言在人类活动中的作用及其与文化的联系。
DOC:L29: 语言有三大类：观念（信仰、价值观）、行为（语言、手势、风俗习惯和产品（文学、民俗、艺术、音乐、文物）行为和产品是文化自我表达的方式，而观念是不可触摸的
DOC:L30: 语言与文化的关系长期以来一直争论不休，问题是语言是否塑造了文化，文化是否反映在语言中。人们普遍认为，没有文化就没有语言，语言反映文化，而文化背景是语言工具所揭示的。语言决定我们看待世界的方式的观点并不那么普遍。
DOC:L31: 语言被视为一种社会实践，其意义是由话语周围的语境所决定的。它显然是文化的一个组成部分。如果语言与文化相分离，它将集中于形式而忽视意义。仅仅获得形式知识是不够的，语言是使用者进行交流和表达意思的工具。没有文化语境的知识，意义就不能通过语言来创造或解释。
DOC:L32: 语言是用来塑造新的意义和改变习俗的。语言和文化都不是固定不变的。语言，尤其是生活用品，是人们了解和理解文化价值的桥梁和镜子。语言的声音和结构是相对稳定的，而语言的词汇则是不断变化的，反映了文化动态和文化体验的多样性。
DOC:L33: 语言深深植根于文化现实。语言起着传递信息和显示放松的作用。每种语言都有其独特的特点和方式，让说它的人能够识别特定的对象和经历。这些语言特征将每一种语言与其他语言区分开来，影响着说话者对世界的感知和体验。
DOC:L34: 语言研究离不开语言行为环境。要想听懂别人的话，就必须了解说话者的文化背景和生活方式。语言可以用来反映一个人的价值观。例如，在汉语中，有一个亲属称谓的分类系统。汉语亲属称谓语反映了汉语的亲属关系家庭制度的重要性，因为中国的家庭过去非常繁杂，等级森严。我们关心祖母是站在母亲一边还是站在父亲一边。如果站在母亲这边，她就叫白祖木；如果站在父亲这边，她就叫祖木。但在英语中没有这样的区别。只有两个词：祖母和祖父-母亲的父母或父亲的父母
DOC:L35: 历史、世界观、信仰、价值观、宗教和社会组织都可以通过不同的语言和语言变体反映在文化中。同时，语言可能是文化的一个直接定义方面，而不仅仅是基本结构的反映。语言不仅仅是词语和意义；它也是一个人文化经历的一面镜子。
DOC:L36: 语言是跨文化交际的重要影响因素。语言是用发声的声音或书面符号来表达思想和感情，这些声音是按语法规则组织起来的。同一语言的民族或民族的人民通常有共同的历史和一套讲一种语言的传统，这就给了个人一种文化认同。如果一个文化群体的语言消失了，这个文化群体的成员就很难或不可能保持他们的文化，他们将被另一种语言或文化所同化。爱尔兰人就是一个例子，他们失去了自己的语言（凯尔特语），至少部分地被英国文化同化了。几十年来许多移民到美国，已经被同化为美国社会的大熔炉
DOC:L37: 我们可以用几个隐喻来说明语言和文化之间的关系。一种说法是语言与文化的关系就像一个活的有机体，语言是肉，文化是血，没有文化，语言就会死亡；没有语言，文化就没有形态
DOC:L38: 另一个比喻是冰山。语言只是脚尖的一部分，帽子在水上；隐藏在表面之下的大部分是文化的可见部分
DOC:L39: 还有一个隐喻将交际考虑在内：交际是游泳，语言是游泳技巧，文化是水。没有语言，交流将保持在一个非常有限的程度（在非常浅的水域；没有文化，就没有交流。
DOC:L40: 语言是我们进行社会生活的主要手段。当语言被用于交际时，它以多种复杂的方式与文化联系在一起。语言表达文化现实。人们表达的思想、事实或事件是可以交流的，因为它们涉及到其他人分享的关于宇宙的知识，词语也反映了说话者的态度、信仰和观点。
DOC:L41: 语言体现了文化现实。人们不仅用语言来表达他们的经验，他们还通过语言来创造经验。他们通过手机、互联网等媒介来表达自己的意思。这种交流可以是面对面的交流，也可以通过发邮件、看报纸来进行。人们使用口头、书面或视觉媒介的方式本身就创造出了他们所属群体可以通过说话者的语调/声音、口音、会话风格、手势和面部表情理解的意义。语言通过语言和非语言两个方面体现了文化的真实性
DOC:L42: 语言象征着文化现实。语言是一个符号系统，它被视为具有自身的文化价值。说话者通过使用语言来识别自己和他人；他们认为他们的语言是他们社会身份的象征。禁止使用它通常被认为是对他们的社会群体和文化的排斥。太阳语象征着文化现实。
DOC:L43: 结论是语言和文化之间的相互作用创造了无限的可能性，可以丰富我们的人类经验，扩展我们对宇宙的视野，促进不同语言和文化体系的人之间的理解。还有一个隐喻将交际考虑在内：交际是游泳，语言是游泳技巧，文化是水。没有语言，交流将保持在一个非常有限的程度（在非常浅的水域；没有文化，就没有交流。
DOC:L44: 语言是我们进行社会生活的主要手段。当语言被用于交际时，它以多种复杂的方式与文化联系在一起。语言表达文化现实。人们表达的思想、事实或事件是可以交流的，因为它们涉及到其他人分享的关于宇宙的知识，词语也反映了说话者的态度、信仰和观点。
DOC:L45: 语言体现了文化现实。人们不仅用语言来表达他们的经验，他们还通过语言来创造经验。他们通过手机、互联网等媒介来表达自己的意思。这种交流可以是面对面的交流，也可以通过发邮件、看报纸来进行。人们使用口头、书面或视觉媒介的方式本身就创造出了他们所属群体可以通过说话者的语调/声音、口音、会话风格、手势和面部表情理解的意义。语言通过语言和非语言两个方面体现了文化的真实性
DOC:L46: 语言象征着文化现实。语言是一个符号系统，它被视为具有自身的文化价值。说话者通过使用语言来识别自己和他人；他们认为他们的语言是他们社会身份的象征。禁止使用它通常被认为是对他们的社会群体和文化的排斥。太阳语象征着文化现实。
DOC:L47: 结论是语言和文化之间的相互作用创造了无限的可能性，可以丰富我们的人类经验，扩展我们对宇宙的视野，促进不同语言和文化体系的人之间的理解。
